time,open,high,low,close,volume
2025-07-17,323.26,331.84,312.24,321.68,241112.907
2025-07-18,321.68,337.98,311.47,324.44,419466.312
2025-07-19,324.46,325.79,311.93,319.18,99200.516
2025-07-20,319.2,335.3,317.28,324.31,217838.829
2025-07-21,324.31,334.73,317.97,322.16,189540.216
2025-07-22,322.17,324.39,300.14,310.53,261436.183
2025-07-23,310.54,311.71,282.21,290.39,246334.094
2025-07-24,290.43,295.57,276.2,286.05,185389.048
2025-07-25,286.06,295.32,280.04,294.18,186273.109
2025-07-26,294.19,299.74,292.28,294.92,69026.646
2025-07-27,294.94,306.07,293.93,304.93,99274.81
2025-07-28,304.92,309.0,285.7,288.96,140535.822
2025-07-29,288.96,295.59,279.13,282.35,115665.648
2025-07-30,282.37,284.82,263.57,274.58,151419.829
2025-07-31,274.6,280.25,260.0,260.99,134667.184
2025-08-01,260.99,262.84,249.09,255.36,205487.148
2025-08-02,255.37,258.0,245.0,249.45,87719.319
2025-08-03,249.48,261.01,246.6,260.06,66369.983
2025-08-04,260.05,271.17,259.58,267.82,105360.988
2025-08-05,267.83,268.31,249.93,255.39,106421.002
2025-08-06,255.4,264.57,251.22,263.52,78144.917
2025-08-07,263.53,286.43,262.43,285.08,124492.762
2025-08-08,285.08,295.06,279.23,290.93,161349.338
2025-08-09,290.94,311.47,290.16,307.77,155347.309
2025-08-10,307.8,311.45,298.04,306.19,126135.388
2025-08-11,306.2,312.95,291.08,293.19,205193.204
2025-08-12,293.19,324.23,292.43,322.26,198659.914
2025-08-13,322.24,335.63,316.84,332.15,206556.064
2025-08-14,332.16,340.49,303.7,312.58,269906.899
2025-08-15,312.57,317.7,293.66,300.0,158398.654
2025-08-16,300.0,303.67,290.22,295.6,71925.761
2025-08-17,295.62,310.71,294.01,303.2,99177.887
2025-08-18,303.18,304.41,284.22,288.58,137118.474
2025-08-19,288.58,292.75,275.76,277.42,116969.271
2025-08-20,277.41,299.63,276.8,299.35,159605.205
2025-08-21,299.36,305.21,293.79,300.1,124865.71
2025-08-22,300.14,346.66,294.12,345.61,286095.884
2025-08-23,345.67,385.99,339.9,357.78,443289.636
2025-08-24,357.78,360.51,343.51,348.67,177381.18
2025-08-25,348.7,350.67,310.33,318.56,200797.868
2025-08-26,318.54,339.09,314.16,335.73,212758.42
2025-08-27,335.73,336.42,319.51,320.63,161177.428
2025-08-28,320.63,328.9,312.8,317.56,161583.38
2025-08-29,317.55,321.68,304.0,319.2,233659.936
2025-08-30,319.2,319.78,310.25,319.39,96835.421
2025-08-31,319.4,325.13,315.16,315.69,87367.956
2025-09-01,315.69,319.52,299.11,304.87,123593.016
2025-09-02,304.87,318.27,303.81,315.74,141958.637
2025-09-03,315.73,328.95,312.81,327.87,107198.694
2025-09-04,327.85,331.83,306.0,306.54,155854.11
2025-09-05,306.51,313.64,298.27,302.3,141152.621
2025-09-06,302.3,304.68,297.36,298.31,45607.194
2025-09-07,298.32,304.15,298.02,301.56,52079.844
2025-09-08,301.52,308.08,298.44,302.92,103477.993
2025-09-09,302.93,310.0,294.86,298.0,127892.491
2025-09-10,298.01,306.62,295.79,300.15,107837.566
2025-09-11,300.13,310.36,299.13,309.54,96856.917
2025-09-12,309.56,321.83,308.01,321.57,106230.307
2025-09-13,321.53,321.7,309.57,315.02,82754.594
2025-09-14,315.0,315.5,302.17,306.18,73208.848
2025-09-15,306.16,310.18,295.25,299.34,77785.678
2025-09-16,299.33,301.85,289.48,298.88,116292.108
2025-09-17,298.89,301.24,290.62,296.04,104713.28
